conversion_id,event_id,conversion_timestamp,conversion_value,attribution_model,sku,quantity
conv_alpha_000090,evt_alpha_000446,2024-01-12 00:00:00 CST,108,first_click,SKU-074,3
conv_alpha_000091,evt_alpha_009260,2024-03-28 00:00:00 CST,357,linear,SKU-037,1
conv_alpha_000092,evt_alpha_005994,2024-02-25 00:00:00 CST,186,first_click,SKU-066,2
conv_alpha_000093,evt_alpha_008955,2024-02-22 00:00:00 CST,370,first_click,SKU-023,3
conv_alpha_000094,evt_alpha_002955,2024-03-25 00:00:00 CST,38,linear,SKU-027,2
conv_alpha_000095,evt_alpha_007315,2024-02-23 00:00:00 CST,57,linear,SKU-056,1
conv_alpha_000096,evt_alpha_008854,2024-02-03 00:00:00 CST,269,last_click,SKU-022,4
conv_alpha_000097,evt_alpha_002790,2024-02-22 00:00:00 CST,146,first_click,SKU-042,3
conv_alpha_000098,evt_alpha_004149,2024-03-15 00:00:00 CST,386,last_click,SKU-098,3
conv_alpha_000099,evt_alpha_008690,2024-01-10 00:00:00 CST,472,first_click,SKU-069,4
conv_alpha_000100,evt_alpha_002311,2024-03-10 00:00:00 CST,353,last_click,SKU-025,1
conv_alpha_000101,evt_alpha_000174,2024-01-11 00:00:00 CST,199,linear,SKU-036,4
conv_alpha_000102,evt_alpha_003290,2024-03-25 00:00:00 CST,14,last_click,SKU-057,4
conv_alpha_000103,evt_alpha_007562,2024-02-23 00:00:00 CST,392,first_click,SKU-088,1
conv_alpha_000104,evt_alpha_004797,2024-01-07 00:00:00 CST,357,linear,SKU-039,1
conv_alpha_000105,evt_alpha_001147,2024-02-08 00:00:00 CST,214,linear,SKU-053,1
conv_alpha_000106,evt_alpha_003950,2024-01-23 00:00:00 CST,491,linear,SKU-023,2
conv_alpha_000107,evt_alpha_008476,2024-02-19 00:00:00 CST,161,first_click,SKU-012,4
conv_alpha_000108,evt_alpha_008384,2024-01-30 00:00:00 CST,45,first_click,SKU-024,3
conv_alpha_000109,evt_alpha_006303,2024-02-27 00:00:00 CST,63,last_click,SKU-076,2
conv_alpha_000110,evt_alpha_003275,2024-03-17 00:00:00 CST,88,first_click,SKU-030,1
conv_alpha_000111,evt_alpha_009804,2024-02-17 00:00:00 CST,308,last_click,SKU-082,3
conv_alpha_000112,evt_alpha_006321,2024-01-09 00:00:00 CST,442,last_click,SKU-091,3
conv_alpha_000113,evt_alpha_001627,2024-01-24 00:00:00 CST,77,first_click,SKU-028,4
conv_alpha_000114,evt_alpha_001939,2024-03-03 00:00:00 CST,230,last_click,SKU-030,3
conv_alpha_000115,evt_alpha_006802,2024-01-21 00:00:00 CST,433,last_click,SKU-084,4
conv_alpha_000116,evt_alpha_005430,2024-02-02 00:00:00 CST,431,last_click,SKU-050,3
conv_alpha_000117,evt_alpha_009256,2024-01-23 00:00:00 CST,224,first_click,SKU-016,1
conv_alpha_000118,evt_alpha_004574,2024-02-16 00:00:00 CST,435,last_click,SKU-026,4
conv_alpha_000119,evt_alpha_000090,2024-03-20 00:00:00 CST,193,first_click,SKU-008,3
conv_alpha_000120,evt_alpha_001857,2024-01-01 00:00:00 CST,10,first_click,SKU-095,2
conv_alpha_000121,evt_alpha_004687,2024-02-20 00:00:00 CST,313,linear,SKU-039,2
conv_alpha_000122,evt_alpha_008170,2024-02-06 00:00:00 CST,242,first_click,SKU-035,3
conv_alpha_000123,evt_alpha_006520,2024-01-31 00:00:00 CST,177,last_click,SKU-079,3
conv_alpha_000124,evt_alpha_005792,2024-03-06 00:00:00 CST,36,first_click,SKU-088,3
conv_alpha_000125,evt_alpha_001138,2024-03-11 00:00:00 CST,35,last_click,SKU-022,2
conv_alpha_000126,evt_alpha_004495,2024-01-25 00:00:00 CST,409,last_click,SKU-087,4
conv_alpha_000127,evt_alpha_004080,2024-01-14 00:00:00 CST,305,last_click,SKU-040,3
conv_alpha_000128,evt_alpha_002604,2024-01-01 00:00:00 CST,478,last_click,SKU-008,1
conv_alpha_000129,evt_alpha_008183,2024-02-16 00:00:00 CST,492,linear,SKU-085,3
conv_alpha_000130,evt_alpha_009421,2024-03-16 00:00:00 CST,133,first_click,SKU-069,2
conv_alpha_000131,evt_alpha_003254,2024-03-11 00:00:00 CST,270,linear,SKU-089,2
conv_alpha_000132,evt_alpha_009129,2024-03-15 00:00:00 CST,465,first_click,SKU-028,4
conv_alpha_000133,evt_alpha_003873,2024-03-25 00:00:00 CST,473,first_click,SKU-058,1
conv_alpha_000134,evt_alpha_001288,2024-03-12 00:00:00 CST,480,last_click,SKU-010,1
conv_alpha_000135,evt_alpha_000631,2024-03-21 00:00:00 CST,38,last_click,SKU-051,3
conv_alpha_000136,evt_alpha_007690,2024-03-12 00:00:00 CST,414,last_click,SKU-097,2
conv_alpha_000137,evt_alpha_001478,2024-03-29 00:00:00 CST,18,first_click,SKU-043,2
conv_alpha_000138,evt_alpha_009771,2024-02-22 00:00:00 CST,197,first_click,SKU-026,2
conv_alpha_000139,evt_alpha_009301,2024-02-25 00:00:00 CST,183,last_click,SKU-020,2
conv_alpha_000140,evt_alpha_001316,2024-02-05 00:00:00 CST,486,first_click,SKU-077,3
conv_alpha_000141,evt_alpha_006858,2024-02-12 00:00:00 CST,385,last_click,SKU-056,4
conv_alpha_000142,evt_alpha_004290,2024-02-04 00:00:00 CST,394,first_click,SKU-065,1
conv_alpha_000143,evt_alpha_002073,2024-03-07 00:00:00 CST,353,last_click,SKU-099,1
conv_alpha_000144,evt_alpha_005756,2024-02-14 00:00:00 CST,89,linear,SKU-099,2
conv_alpha_000145,evt_alpha_003986,2024-01-30 00:00:00 CST,211,linear,SKU-053,3
conv_alpha_000146,evt_alpha_000921,2024-01-14 00:00:00 CST,409,linear,SKU-030,1
conv_alpha_000147,evt_alpha_007820,2024-03-05 00:00:00 CST,384,linear,SKU-002,3
conv_alpha_000148,evt_alpha_006433,2024-03-05 00:00:00 CST,114,first_click,SKU-042,1
conv_alpha_000149,evt_alpha_005542,2024-03-14 00:00:00 CST,31,first_click,SKU-035,3
conv_alpha_000150,evt_alpha_006187,2024-02-17 00:00:00 CST,315,last_click,SKU-059,2
conv_alpha_000151,evt_alpha_001551,2024-01-05 00:00:00 CST,225,linear,SKU-014,2
conv_alpha_000152,evt_alpha_009551,2024-03-19 00:00:00 CST,479,linear,SKU-057,2
conv_alpha_000153,evt_alpha_002170,2024-02-16 00:00:00 CST,100,last_click,SKU-092,3
conv_alpha_000154,evt_alpha_009865,2024-02-25 00:00:00 CST,276,first_click,SKU-078,4
conv_alpha_000155,evt_alpha_009606,2024-02-22 00:00:00 CST,333,linear,SKU-099,1
conv_alpha_000156,evt_alpha_005040,2024-02-05 00:00:00 CST,274,first_click,SKU-057,2
conv_alpha_000157,evt_alpha_007211,2024-01-19 00:00:00 CST,382,linear,SKU-068,4
conv_alpha_000158,evt_alpha_007262,2024-01-13 00:00:00 CST,247,first_click,SKU-048,4
conv_alpha_000159,evt_alpha_000627,2024-01-06 00:00:00 CST,437,linear,SKU-064,2
conv_alpha_000160,evt_alpha_008654,2024-01-29 00:00:00 CST,337,last_click,SKU-093,3
conv_alpha_000161,evt_alpha_009115,2024-02-16 00:00:00 CST,245,linear,SKU-099,1
conv_alpha_000162,evt_alpha_007737,2024-01-18 00:00:00 CST,433,first_click,SKU-074,3
conv_alpha_000163,evt_alpha_004817,2024-02-20 00:00:00 CST,428,first_click,SKU-010,4
conv_alpha_000164,evt_alpha_007736,2024-03-14 00:00:00 CST,150,last_click,SKU-024,2
conv_alpha_000165,evt_alpha_005054,2024-02-15 00:00:00 CST,454,linear,SKU-063,1
conv_alpha_000166,evt_alpha_001427,2024-01-16 00:00:00 CST,44,last_click,SKU-009,3
conv_alpha_000167,evt_alpha_002467,2024-01-14 00:00:00 CST,436,linear,SKU-049,4
conv_alpha_000168,evt_alpha_003055,2024-01-01 00:00:00 CST,217,first_click,SKU-058,3
conv_alpha_000169,evt_alpha_006428,2024-01-02 00:00:00 CST,153,linear,SKU-036,1
conv_alpha_000170,evt_alpha_009369,2024-03-15 00:00:00 CST,272,first_click,SKU-038,1
conv_alpha_000171,evt_alpha_001715,2024-02-25 00:00:00 CST,315,first_click,SKU-092,2
conv_alpha_000172,evt_alpha_006247,2024-01-29 00:00:00 CST,204,first_click,SKU-001,3
conv_alpha_000173,evt_alpha_004430,2024-01-12 00:00:00 CST,321,first_click,SKU-059,4
conv_alpha_000174,evt_alpha_009252,2024-03-11 00:00:00 CST,113,first_click,SKU-039,3
conv_alpha_000175,evt_alpha_006076,2024-01-10 00:00:00 CST,86,linear,SKU-035,1
conv_alpha_000176,evt_alpha_005110,2024-03-22 00:00:00 CST,16,first_click,SKU-008,3
conv_alpha_000177,evt_alpha_001779,2024-02-12 00:00:00 CST,307,first_click,SKU-006,2
conv_alpha_000178,evt_alpha_005945,2024-01-10 00:00:00 CST,338,last_click,SKU-021,1
conv_alpha_000179,evt_alpha_007465,2024-03-16 00:00:00 CST,294,first_click,SKU-090,2
conv_alpha_000180,evt_alpha_007771,2024-01-14 00:00:00 CST,118,last_click,SKU-039,3
conv_alpha_000181,evt_alpha_004295,2024-03-02 00:00:00 CST,472,linear,SKU-099,1
conv_alpha_000182,evt_alpha_005811,2024-03-25 00:00:00 CST,254,first_click,SKU-029,3
conv_alpha_000183,evt_alpha_002595,2024-01-17 00:00:00 CST,378,last_click,SKU-049,1
conv_alpha_000184,evt_alpha_007915,2024-03-04 00:00:00 CST,194,last_click,SKU-066,1
conv_alpha_000185,evt_alpha_005130,2024-01-17 00:00:00 CST,326,linear,SKU-083,1
conv_alpha_000186,evt_alpha_009292,2024-01-21 00:00:00 CST,366,last_click,SKU-051,4
conv_alpha_000187,evt_alpha_005774,2024-01-04 00:00:00 CST,175,linear,SKU-029,3
conv_alpha_000188,evt_alpha_003189,2024-02-26 00:00:00 CST,398,last_click,SKU-025,2
conv_alpha_000189,evt_alpha_005361,2024-01-03 00:00:00 CST,430,linear,SKU-003,2
conv_alpha_000190,evt_alpha_009320,2024-03-12 00:00:00 CST,158,first_click,SKU-058,2
conv_alpha_000191,evt_alpha_009747,2024-02-09 00:00:00 CST,497,last_click,SKU-029,1
conv_alpha_000192,evt_alpha_000349,2024-02-05 00:00:00 CST,41,first_click,SKU-019,3
conv_alpha_000193,evt_alpha_000864,2024-03-08 00:00:00 CST,340,first_click,SKU-012,1
conv_alpha_000194,evt_alpha_002078,2024-01-17 00:00:00 CST,141,linear,SKU-045,4
conv_alpha_000195,evt_alpha_003657,2024-01-06 00:00:00 CST,159,first_click,SKU-041,3
conv_alpha_000196,evt_alpha_009103,2024-03-12 00:00:00 CST,240,first_click,SKU-062,2
conv_alpha_000197,evt_alpha_006172,2024-01-03 00:00:00 CST,316,first_click,SKU-046,4
conv_alpha_000198,evt_alpha_002181,2024-02-01 00:00:00 CST,117,first_click,SKU-061,4
conv_alpha_000199,evt_alpha_006694,2024-03-14 00:00:00 CST,10,linear,SKU-095,2
conv_alpha_000200,evt_alpha_005855,2024-02-23 00:00:00 CST,413,last_click,SKU-037,1
conv_alpha_000201,evt_alpha_008757,2024-03-19 00:00:00 CST,491,linear,SKU-093,2
conv_alpha_000202,evt_alpha_004353,2024-02-09 00:00:00 CST,449,last_click,SKU-022,3
conv_alpha_000203,evt_alpha_009014,2024-01-15 00:00:00 CST,130,last_click,SKU-030,1
conv_alpha_000204,evt_alpha_009556,2024-03-21 00:00:00 CST,493,linear,SKU-034,1
conv_alpha_000205,evt_alpha_009825,2024-02-18 00:00:00 CST,446,first_click,SKU-038,2
conv_alpha_000206,evt_alpha_000698,2024-03-02 00:00:00 CST,163,first_click,SKU-098,2
conv_alpha_000207,evt_alpha_003816,2024-03-02 00:00:00 CST,109,first_click,SKU-052,2
conv_alpha_000208,evt_alpha_000737,2024-03-08 00:00:00 CST,340,first_click,SKU-013,3
conv_alpha_000209,evt_alpha_009123,2024-03-09 00:00:00 CST,368,linear,SKU-027,3
conv_alpha_000210,evt_alpha_008570,2024-02-14 00:00:00 CST,135,linear,SKU-037,2
conv_alpha_000211,evt_alpha_003868,2024-03-02 00:00:00 CST,218,first_click,SKU-031,4
conv_alpha_000212,evt_alpha_001523,2024-02-07 00:00:00 CST,192,last_click,SKU-018,2
conv_alpha_000213,evt_alpha_003139,2024-02-22 00:00:00 CST,382,last_click,SKU-009,3
conv_alpha_000214,evt_alpha_005499,2024-01-19 00:00:00 CST,418,last_click,SKU-084,2
conv_alpha_000215,evt_alpha_001978,2024-01-08 00:00:00 CST,466,last_click,SKU-098,4
conv_alpha_000216,evt_alpha_005031,2024-02-26 00:00:00 CST,255,linear,SKU-077,2
conv_alpha_000217,evt_alpha_004777,2024-02-28 00:00:00 CST,238,first_click,SKU-047,1
conv_alpha_000218,evt_alpha_000211,2024-01-07 00:00:00 CST,319,first_click,SKU-010,1
conv_alpha_000219,evt_alpha_008947,2024-02-12 00:00:00 CST,165,first_click,SKU-077,2
conv_alpha_000220,evt_alpha_009359,2024-03-12 00:00:00 CST,258,first_click,SKU-055,4
conv_alpha_000221,evt_alpha_008560,2024-02-22 00:00:00 CST,179,first_click,SKU-060,4
conv_alpha_000222,evt_alpha_002775,2024-01-02 00:00:00 CST,299,linear,SKU-042,1
conv_alpha_000223,evt_alpha_000287,2024-01-30 00:00:00 CST,329,first_click,SKU-019,2
conv_alpha_000224,evt_alpha_002233,2024-02-10 00:00:00 CST,292,last_click,SKU-089,4
conv_alpha_000225,evt_alpha_006139,2024-03-01 00:00:00 CST,460,linear,SKU-032,3
conv_alpha_000226,evt_alpha_004600,2024-03-25 00:00:00 CST,174,first_click,SKU-085,2
conv_alpha_000227,evt_alpha_004451,2024-02-19 00:00:00 CST,427,last_click,SKU-082,4
conv_alpha_000228,evt_alpha_005149,2024-01-03 00:00:00 CST,123,first_click,SKU-067,3
conv_alpha_000229,evt_alpha_001512,2024-03-07 00:00:00 CST,130,first_click,SKU-098,1
conv_alpha_000230,evt_alpha_005822,2024-01-03 00:00:00 CST,80,linear,SKU-010,3
conv_alpha_000231,evt_alpha_007010,2024-02-24 00:00:00 CST,256,last_click,SKU-042,1
conv_alpha_000232,evt_alpha_006423,2024-01-22 00:00:00 CST,484,linear,SKU-033,4
conv_alpha_000233,evt_alpha_002585,2024-02-13 00:00:00 CST,396,first_click,SKU-010,2
conv_alpha_000234,evt_alpha_008464,2024-02-28 00:00:00 CST,400,linear,SKU-014,2
conv_alpha_000235,evt_alpha_001655,2024-03-10 00:00:00 CST,426,first_click,SKU-070,2
conv_alpha_000236,evt_alpha_005469,2024-03-08 00:00:00 CST,418,first_click,SKU-067,2
conv_alpha_000237,evt_alpha_004978,2024-02-09 00:00:00 CST,451,last_click,SKU-074,1
conv_alpha_000238,evt_alpha_003813,2024-02-23 00:00:00 CST,93,first_click,SKU-077,3
conv_alpha_000239,evt_alpha_004275,2024-01-01 00:00:00 CST,231,last_click,SKU-072,1
conv_alpha_000240,evt_alpha_004029,2024-02-15 00:00:00 CST,426,last_click,SKU-060,3
conv_alpha_000241,evt_alpha_004677,2024-01-17 00:00:00 CST,255,linear,SKU-037,2
conv_alpha_000242,evt_alpha_009553,2024-01-14 00:00:00 CST,264,first_click,SKU-001,3
conv_alpha_000243,evt_alpha_000366,2024-02-10 00:00:00 CST,176,linear,SKU-074,2
conv_alpha_000244,evt_alpha_007093,2024-02-15 00:00:00 CST,498,last_click,SKU-059,1
conv_alpha_000245,evt_alpha_008093,2024-01-20 00:00:00 CST,202,linear,SKU-049,3
conv_alpha_000246,evt_alpha_005374,2024-02-27 00:00:00 CST,340,linear,SKU-062,4
conv_alpha_000247,evt_alpha_007932,2024-02-05 00:00:00 CST,221,last_click,SKU-059,2
conv_alpha_000248,evt_alpha_001787,2024-03-27 00:00:00 CST,257,linear,SKU-024,1
conv_alpha_000249,evt_alpha_000392,2024-01-23 00:00:00 CST,119,last_click,SKU-056,3
conv_alpha_000250,evt_alpha_005509,2024-01-03 00:00:00 CST,126,first_click,SKU-038,2
conv_alpha_000251,evt_alpha_000135,2024-02-09 00:00:00 CST,402,linear,SKU-064,2
conv_alpha_000252,evt_alpha_000176,2024-03-08 00:00:00 CST,486,first_click,SKU-033,2
conv_alpha_000253,evt_alpha_009500,2024-01-19 00:00:00 CST,238,linear,SKU-075,2
conv_alpha_000254,evt_alpha_008200,2024-03-20 00:00:00 CST,124,first_click,SKU-013,3
conv_alpha_000255,evt_alpha_000968,2024-02-01 00:00:00 CST,291,first_click,SKU-052,2
conv_alpha_000256,evt_alpha_008172,2024-01-28 00:00:00 CST,448,last_click,SKU-028,1
conv_alpha_000257,evt_alpha_004766,2024-01-25 00:00:00 CST,72,last_click,SKU-018,1
conv_alpha_000258,evt_alpha_005448,2024-03-19 00:00:00 CST,358,last_click,SKU-005,3
conv_alpha_000259,evt_alpha_000939,2024-03-13 00:00:00 CST,110,first_click,SKU-025,1
conv_alpha_000260,evt_alpha_002047,2024-02-24 00:00:00 CST,495,first_click,SKU-020,2
conv_alpha_000261,evt_alpha_004158,2024-03-13 00:00:00 CST,268,linear,SKU-075,4
conv_alpha_000262,evt_alpha_004336,2024-01-28 00:00:00 CST,306,linear,SKU-038,3
conv_alpha_000263,evt_alpha_002802,2024-02-01 00:00:00 CST,91,first_click,SKU-083,4
conv_alpha_000264,evt_alpha_003458,2024-01-13 00:00:00 CST,65,last_click,SKU-051,1
conv_alpha_000265,evt_alpha_006820,2024-01-14 00:00:00 CST,385,first_click,SKU-036,2
conv_alpha_000266,evt_alpha_005407,2024-02-10 00:00:00 CST,305,linear,SKU-089,1
conv_alpha_000267,evt_alpha_005429,2024-02-26 00:00:00 CST,145,first_click,SKU-099,2
conv_alpha_000268,evt_alpha_005866,2024-03-08 00:00:00 CST,437,linear,SKU-090,3
conv_alpha_000269,evt_alpha_009556,2024-03-28 00:00:00 CST,128,first_click,SKU-007,2
conv_alpha_000270,evt_alpha_005275,2024-01-02 00:00:00 CST,261,first_click,SKU-071,1
conv_alpha_000271,evt_alpha_004750,2024-03-26 00:00:00 CST,169,first_click,SKU-023,2
conv_alpha_000272,evt_alpha_005055,2024-02-25 00:00:00 CST,97,first_click,SKU-091,1
conv_alpha_000273,evt_alpha_005284,2024-02-12 00:00:00 CST,145,first_click,SKU-066,4
conv_alpha_000274,evt_alpha_003270,2024-01-27 00:00:00 CST,17,linear,SKU-010,2
conv_alpha_000275,evt_alpha_005109,2024-02-16 00:00:00 CST,147,linear,SKU-023,2
conv_alpha_000276,evt_alpha_005743,2024-03-03 00:00:00 CST,323,last_click,SKU-061,2
conv_alpha_000277,evt_alpha_006931,2024-02-29 00:00:00 CST,286,first_click,SKU-094,1
conv_alpha_000278,evt_alpha_004142,2024-03-21 00:00:00 CST,49,linear,SKU-087,3
conv_alpha_000279,evt_alpha_003220,2024-01-07 00:00:00 CST,399,first_click,SKU-003,1
