event_id,timestamp,adType,cost_micros,impressions,clicks,conv_click_7d,revenue_7d,campaign_id,sku,audience_segment,device,currency,timezone
evt_alpha_000096,2024-01-11 09:00:00 CST,offsite_vid,3486501,6266,302,25,2349,camp_alpha_011,SKU-012,inmarket,mobile,USD,CST
evt_alpha_000097,2024-03-02 17:00:00 CST,sp,770688,7890,103,42,3531,camp_alpha_012,SKU-068,retargeting,UNKNOWN,USD,CST
evt_alpha_000098,2024-02-06 07:00:00 CST,onsite_disp,938761,8895,286,8,4146,camp_alpha_014,SKU-040,retargeting,desktop,USD,CST
evt_alpha_000099,2024-01-11 22:00:00 CST,sp,2102324,3517,109,35,1205,camp_alpha_001,SKU-063,inmarket,tablet,USD,CST
evt_alpha_000100,2024-02-09 14:00:00 CST,sp,1815630,7212,308,8,201,camp_alpha_009,SKU-035,lookalike,UNKNOWN,USD,CST
evt_alpha_000101,2024-01-25 10:00:00 CST,SD,2861089,8170,209,26,417,camp_alpha_017,SKU-043,lookalike,UNKNOWN,USD,CST
evt_alpha_000102,2024-02-20 21:00:00 CST,offsite_vid,1478246,5399,197,23,4380,camp_alpha_011,SKU-022,inmarket,UNKNOWN,USD,CST
evt_alpha_000103,2024-03-25 16:00:00 CST,onsite_disp,4102640,3532,176,19,3701,camp_alpha_008,SKU-049,lookalike,mobile,USD,CST
evt_alpha_000104,2024-01-13 22:00:00 CST,onsite_disp,4056602,1051,210,31,2717,camp_alpha_017,SKU-045,retargeting,desktop,USD,CST
evt_alpha_000105,2024-01-16 07:00:00 CST,onsite_disp,4721056,5590,174,49,4289,camp_alpha_017,SKU-094,inmarket,tablet,USD,CST
evt_alpha_000106,2024-03-03 03:00:00 CST,sp,1725351,8138,130,31,4873,camp_alpha_010,SKU-083,inmarket,desktop,USD,CST
evt_alpha_000107,2024-03-27 22:00:00 CST,offsite_vid,4946769,3562,348,7,832,camp_alpha_003,SKU-088,lookalike,tablet,USD,CST
evt_alpha_000108,2024-03-12 21:00:00 CST,sp,4772750,3400,66,32,3675,camp_alpha_015,SKU-008,inmarket,tablet,USD,CST
evt_alpha_000109,2024-03-28 13:00:00 CST,offsite_vid,1078039,2638,399,3,164,camp_alpha_014,SKU-095,lookalike,UNKNOWN,USD,CST
evt_alpha_000110,2024-03-22 06:00:00 CST,SD,3772214,4342,111,18,1308,camp_alpha_018,SKU-002,retargeting,tablet,USD,CST
evt_alpha_000111,2024-03-09 19:00:00 CST,onsite_disp,3916446,1509,194,22,3190,camp_alpha_012,SKU-020,retargeting,mobile,USD,CST
evt_alpha_000112,2024-02-07 08:00:00 CST,SD,3366402,5719,341,43,4688,camp_alpha_010,SKU-030,,tablet,USD,CST
evt_alpha_000113,2024-03-27 16:00:00 CST,SD,4330258,2673,8,39,4033,camp_alpha_013,SKU-025,lookalike,mobile,USD,CST
evt_alpha_000114,2024-01-22 10:00:00 CST,SD,216739,6909,441,28,3180,camp_alpha_002,SKU-087,retargeting,tablet,USD,CST
evt_alpha_000115,2024-03-10 17:00:00 CST,offsite_vid,2520564,5575,40,37,2081,camp_alpha_017,SKU-037,retargeting,desktop,USD,CST
evt_alpha_000116,2024-03-16 22:00:00 CST,sp,816756,2174,312,30,645,camp_alpha_008,SKU-098,,mobile,USD,CST
evt_alpha_000117,2024-02-22 06:00:00 CST,SD,1600844,3069,468,27,4797,camp_alpha_014,SKU-064,inmarket,UNKNOWN,USD,CST
evt_alpha_000118,2024-02-23 10:00:00 CST,sp,3396050,4888,291,25,4124,camp_alpha_011,SKU-040,lookalike,UNKNOWN,USD,CST
evt_alpha_000119,2024-02-05 16:00:00 CST,onsite_disp,1159622,9542,309,33,4150,camp_alpha_015,SKU-024,inmarket,desktop,USD,CST
evt_alpha_000120,2024-03-09 23:00:00 CST,sp,1731993,7815,238,19,1762,camp_alpha_011,SKU-081,inmarket,tablet,USD,CST
evt_alpha_000121,2024-03-13 01:00:00 CST,sp,2821864,2443,16,0,1240,camp_alpha_011,SKU-042,retargeting,tablet,USD,CST
evt_alpha_000122,2024-02-04 02:00:00 CST,SD,2624388,4303,171,29,4197,camp_alpha_002,SKU-012,lookalike,mobile,USD,CST
evt_alpha_000123,2024-02-13 16:00:00 CST,sp,4184752,429,56,48,4107,camp_alpha_016,SKU-088,lookalike,UNKNOWN,USD,CST
evt_alpha_000124,2024-01-21 16:00:00 CST,onsite_disp,3837973,7219,197,7,3726,camp_alpha_009,SKU-026,lookalike,UNKNOWN,USD,CST
evt_alpha_000125,2024-01-10 15:00:00 CST,onsite_disp,3913270,6013,468,21,4345,camp_alpha_007,SKU-014,lookalike,mobile,USD,CST
evt_alpha_000126,2024-01-07 08:00:00 CST,onsite_disp,2539855,8107,497,22,1500,camp_alpha_018,SKU-095,inmarket,UNKNOWN,USD,CST
evt_alpha_000127,2024-02-08 02:00:00 CST,SD,4181082,3661,102,16,1182,camp_alpha_003,SKU-060,retargeting,desktop,USD,CST
evt_alpha_000128,2024-01-03 04:00:00 CST,onsite_disp,234055,4378,470,43,38,camp_alpha_015,SKU-004,retargeting,desktop,USD,CST
evt_alpha_000129,2024-01-25 12:00:00 CST,SD,2835264,8784,425,43,3521,camp_alpha_003,SKU-042,inmarket,desktop,USD,CST
evt_alpha_000130,2024-01-13 12:00:00 CST,SD,4177151,3910,378,38,813,camp_alpha_017,SKU-093,inmarket,mobile,USD,CST
evt_alpha_000131,2024-02-26 15:00:00 CST,offsite_vid,970123,9554,376,9,920,camp_alpha_007,SKU-084,retargeting,mobile,USD,CST
evt_alpha_000132,2024-02-18 02:00:00 CST,sp,4852525,8667,157,49,145,camp_alpha_005,SKU-025,,mobile,USD,CST
evt_alpha_000133,2024-02-22 13:00:00 CST,onsite_disp,266472,4594,304,23,963,camp_alpha_012,SKU-059,inmarket,mobile,USD,CST
evt_alpha_000134,2024-03-01 04:00:00 CST,onsite_disp,2950171,4905,294,45,3415,camp_alpha_011,SKU-062,retargeting,desktop,USD,CST
evt_alpha_000135,2024-01-25 06:00:00 CST,offsite_vid,2390435,5790,71,19,884,camp_alpha_019,SKU-074,lookalike,desktop,USD,CST
evt_alpha_000136,2024-02-26 08:00:00 CST,sp,1126553,6502,375,5,1796,camp_alpha_015,SKU-087,retargeting,mobile,USD,CST
evt_alpha_000137,2024-01-20 16:00:00 CST,sp,2108954,7757,418,49,849,camp_alpha_017,SKU-088,lookalike,UNKNOWN,USD,CST
evt_alpha_000138,2024-01-13 23:00:00 CST,sp,1775843,2033,356,33,1290,camp_alpha_009,SKU-056,lookalike,tablet,USD,CST
evt_alpha_000139,2024-01-29 08:00:00 CST,onsite_disp,2562616,6981,331,41,4616,camp_alpha_015,SKU-040,retargeting,mobile,USD,CST
evt_alpha_000140,2024-01-11 01:00:00 CST,offsite_vid,3089179,1074,37,7,3972,camp_alpha_016,SKU-090,inmarket,desktop,USD,CST
evt_alpha_000141,2024-02-06 15:00:00 CST,sp,4266769,9616,223,28,2162,camp_alpha_003,SKU-056,,desktop,USD,CST
evt_alpha_000142,2024-02-09 12:00:00 CST,sp,2466610,2483,167,27,1704,camp_alpha_013,SKU-045,retargeting,mobile,USD,CST
evt_alpha_000143,2024-02-11 03:00:00 CST,onsite_disp,3379269,4895,6,4,556,camp_alpha_019,SKU-031,lookalike,desktop,USD,CST
evt_alpha_000144,2024-01-10 10:00:00 CST,sp,2239686,4098,81,35,3329,camp_alpha_014,SKU-077,retargeting,UNKNOWN,USD,CST
evt_alpha_000145,2024-02-08 01:00:00 CST,offsite_vid,588972,9982,112,40,2064,camp_alpha_008,SKU-095,inmarket,UNKNOWN,USD,CST
evt_alpha_000146,2024-03-04 23:00:00 CST,sp,2455874,1107,325,18,3526,camp_alpha_010,SKU-096,inmarket,tablet,USD,CST
evt_alpha_000147,2024-01-28 14:00:00 CST,SD,4168316,377,195,19,1887,camp_alpha_004,SKU-068,lookalike,UNKNOWN,USD,CST
evt_alpha_000148,2024-01-17 11:00:00 CST,SD,697897,9177,192,21,4569,camp_alpha_018,SKU-050,inmarket,UNKNOWN,USD,CST
evt_alpha_000149,2024-02-16 11:00:00 CST,offsite_vid,4778394,5446,435,11,28,camp_alpha_011,SKU-033,inmarket,tablet,USD,CST
evt_alpha_000150,2024-03-19 18:00:00 CST,onsite_disp,4521590,9745,225,28,515,camp_alpha_017,SKU-099,retargeting,mobile,USD,CST
evt_alpha_000151,2024-02-08 14:00:00 CST,onsite_disp,1486652,1198,371,31,3201,camp_alpha_015,SKU-078,,desktop,USD,CST
evt_alpha_000152,2024-03-15 02:00:00 CST,sp,1586205,1088,20,46,4964,camp_alpha_006,SKU-019,retargeting,mobile,USD,CST
evt_alpha_000153,2024-01-03 00:00:00 CST,SD,1019484,3156,280,23,1809,camp_alpha_015,SKU-080,lookalike,UNKNOWN,USD,CST
evt_alpha_000154,2024-02-29 13:00:00 CST,sp,2542266,3733,499,6,4444,camp_alpha_012,SKU-053,,UNKNOWN,USD,CST
evt_alpha_000155,2024-01-03 19:00:00 CST,SD,4625208,1975,227,8,1016,camp_alpha_002,SKU-088,,tablet,USD,CST
evt_alpha_000156,2024-03-04 12:00:00 CST,sp,878513,1489,494,30,165,camp_alpha_011,SKU-045,retargeting,mobile,USD,CST
evt_alpha_000157,2024-02-10 07:00:00 CST,onsite_disp,264053,3862,87,40,2448,camp_alpha_012,SKU-046,,tablet,USD,CST
evt_alpha_000158,2024-03-20 21:00:00 CST,SD,1446208,9005,423,31,4337,camp_alpha_001,SKU-002,retargeting,mobile,USD,CST
evt_alpha_000159,2024-03-17 00:00:00 CST,sp,2047763,7933,405,38,2241,camp_alpha_006,SKU-090,inmarket,desktop,USD,CST
evt_alpha_000160,2024-01-15 01:00:00 CST,SD,2091083,1995,458,2,634,camp_alpha_006,SKU-009,inmarket,mobile,USD,CST
evt_alpha_000161,2024-02-01 08:00:00 CST,SD,464359,3489,83,46,250,camp_alpha_007,SKU-075,,UNKNOWN,USD,CST
evt_alpha_000162,2024-01-04 05:00:00 CST,SD,2803381,8701,382,2,4904,camp_alpha_010,SKU-014,lookalike,desktop,USD,CST
evt_alpha_000163,2024-01-12 22:00:00 CST,offsite_vid,3378360,1366,121,18,3638,camp_alpha_014,SKU-045,,mobile,USD,CST
evt_alpha_000164,2024-02-22 22:00:00 CST,offsite_vid,739282,8079,81,5,661,camp_alpha_005,SKU-096,,mobile,USD,CST
evt_alpha_000165,2024-02-28 02:00:00 CST,offsite_vid,1490281,9046,34,28,352,camp_alpha_007,SKU-076,retargeting,desktop,USD,CST
evt_alpha_000166,2024-03-25 23:00:00 CST,offsite_vid,1095843,9679,381,19,955,camp_alpha_018,SKU-049,lookalike,UNKNOWN,USD,CST
evt_alpha_000167,2024-02-05 20:00:00 CST,SD,1563807,9733,419,5,4390,camp_alpha_010,SKU-058,inmarket,mobile,USD,CST
evt_alpha_000168,2024-01-12 02:00:00 CST,sp,4262065,3058,224,34,4889,camp_alpha_008,SKU-094,lookalike,desktop,USD,CST
evt_alpha_000169,2024-02-13 13:00:00 CST,SD,3950241,474,292,4,4005,camp_alpha_013,SKU-041,inmarket,desktop,USD,CST
evt_alpha_000170,2024-02-29 14:00:00 CST,SD,2298611,8421,230,5,3216,camp_alpha_002,SKU-035,retargeting,mobile,USD,CST
evt_alpha_000171,2024-03-05 07:00:00 CST,offsite_vid,161367,7162,302,30,3466,camp_alpha_010,SKU-067,inmarket,desktop,USD,CST
evt_alpha_000172,2024-03-20 09:00:00 CST,sp,4677033,3532,256,4,2360,camp_alpha_011,SKU-037,lookalike,mobile,USD,CST
evt_alpha_000173,2024-03-16 04:00:00 CST,sp,1905808,9947,43,27,1390,camp_alpha_015,SKU-006,,tablet,USD,CST
evt_alpha_000174,2024-03-01 19:00:00 CST,SD,1667053,1068,292,19,281,camp_alpha_001,SKU-035,inmarket,mobile,USD,CST
evt_alpha_000175,2024-02-28 04:00:00 CST,sp,3047762,1329,11,41,275,camp_alpha_018,SKU-088,lookalike,tablet,USD,CST
evt_alpha_000176,2024-03-29 17:00:00 CST,sp,3238744,5442,183,46,3249,camp_alpha_012,SKU-038,,tablet,USD,CST
evt_alpha_000177,2024-02-14 19:00:00 CST,offsite_vid,1674833,991,374,7,2033,camp_alpha_001,SKU-008,retargeting,UNKNOWN,USD,CST
evt_alpha_000178,2024-01-05 14:00:00 CST,SD,1064918,5338,217,42,3485,camp_alpha_018,SKU-082,retargeting,desktop,USD,CST
evt_alpha_000179,2024-01-08 14:00:00 CST,offsite_vid,4142608,1086,327,24,4909,camp_alpha_004,SKU-033,retargeting,tablet,USD,CST
evt_alpha_000180,2024-01-31 15:00:00 CST,SD,4205519,8225,219,1,703,camp_alpha_006,SKU-063,retargeting,mobile,USD,CST
evt_alpha_000181,2024-02-10 15:00:00 CST,sp,4976872,3928,76,30,488,camp_alpha_011,SKU-068,inmarket,mobile,USD,CST
evt_alpha_000182,2024-01-04 05:00:00 CST,onsite_disp,4330625,7861,396,40,850,camp_alpha_013,SKU-075,retargeting,UNKNOWN,USD,CST
evt_alpha_000183,2024-02-23 06:00:00 CST,sp,1200500,3826,64,11,4089,camp_alpha_007,SKU-015,retargeting,tablet,USD,CST
evt_alpha_000184,2024-02-29 00:00:00 CST,sp,3385727,6159,101,25,3338,camp_alpha_003,SKU-072,inmarket,desktop,USD,CST
evt_alpha_000185,2024-03-14 01:00:00 CST,SD,2012584,9318,84,25,2863,camp_alpha_002,SKU-070,,mobile,USD,CST
